Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,lat,lng
102 Bd De Grenelle 15th arr 75015 Paris France,241,8/7/2016,8.6,Le Parisis Paris Tour Eiffel, Slightly expensive for younger people but in the end was worth it for a short stay,17,1477, Amazing room and amazing location definitely would come back,10,1,10,"[' Leisure trip ', ' Couple ', ' Double Room with Eiffel Tower View ', ' Stayed 2 nights ']",48.8494851,2.2955063
11 15 Rue De Lyon 12th arr 75012 Paris France,205,8/7/2016,8.3,Holiday Inn Paris Gare de Lyon Bastille, Grim area ,4,2200, Clean comfortable and surprisingly quiet,6,27,7.1,"[' Leisure trip ', ' Family with older children ', ' 2 rooms ', ' Stayed 1 night ', ' Submitted from a mobile device ']",48.8468064,2.3714789
10 rue de Vaugirard 6th arr 75006 Paris France,83,8/6/2016,8.3,Le Senat, Wifi not working on kids room 102 Very frustrating One night they were out of dessert ordered on room service which was disappointing ,25,549, Balcony room was a dream come true Bed very comfortable Housekeeping was discreet and thorough Breakfast was very good ,21,1,9.2,"[' Leisure trip ', ' Family with older children ', ' 2 rooms ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",48.8491427,2.3397118
1 Avenue Carnot 17th arr 75017 Paris France,75,8/6/2015,8.9,Splendid Etoile, One receptionist did not speak English and made it difficult to communicate requests All other employees were very helpful and accommodating ,23,486, I was accommodated with an early check in and provided a room on a higher floor as requested ,20,1,8.8,"[' Solo traveler ', ' Superior Double Room with Balcony ', ' Stayed 3 nights ']",48.874707,2.2936761
10 12 rue de Charonne 11th arr 75011 Paris France,84,8/6/2015,8.9,Hotel L Antoine, Room is tiny,4,796, Clean Stilish unconventional and well located,7,32,7.1,"[' Business trip ', ' Solo traveler ', ' Classic Single Room ', ' Stayed 1 night ']",48.8524215,2.3743832
1 Impasse Marteau 18th arr 75018 Paris France,91,8/5/2015,7.4,Novotel Suites Paris Nord 18 me, loction,2,1082, bed and room,4,4,8.8,"[' Leisure trip ', ' Family with young children ', ' Superior Suite with 1 Double Bed and 1 Single Bed ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.9015941,2.3597783
10 12 rue Cognacq Jay 7th arr 75007 Paris France,96,8/4/2016,8.6,H tel Juliana Paris, Staff very take care from start but Staaff on the night he not so nice with my Asia lady ,21,577, Excellent of breakfast and services Wonderful of design and exclusive furniture Bed very comfortable High technology of TV in room If we back to Paris we will choose this hotel again Good location and easy to go everywhere by Bus and Metro train Price is very good for 5 Stars Hotel ,53,1,9.6,"[' Leisure trip ', ' Couple ', ' Comfort Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",48.8619373,2.3040298
10 12 rue Cognacq Jay 7th arr 75007 Paris France,96,8/4/2016,8.6,H tel Juliana Paris, Our tv to watch movies was broken the entire trip That should never happen for any hotel let alone a 5 star All that was given was a half bottle of champagne Service is good but the service and hotel itself isn t a 5 star hotel Maybe 4 5,51,577, Bed was super comfortable,5,2,8.3,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",48.8619373,2.3040298
10 rue d Ormesson 4th arr 75004 Paris France,27,8/4/2016,9,H tel de Jos phine BONAPARTE, Nothing,2,240, Fabulous refurbished boutique hotel with excellent facilities and a Napoleonic and roses theme with a twist Great location very friendly staff offered champagne on arrival and always remembered my name Highly recommend an absolute jewel ,37,1,10,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 2 nights ']",48.8555319,2.3621212
10 12 rue Cognacq Jay 7th arr 75007 Paris France,96,8/4/2015,8.6,H tel Juliana Paris, would have been nice if the rooms had been cleaned from one day to next but no one had serviced the room even when I complained at 5pm still came back at 10pm and nothing had been done except the curtains drawn Bathroom had not been touched 2 of our 3 rooms booked where the same ,58,577, central to where we wanted to be,8,11,3.3,"[' Leisure trip ', ' Group ', ' 2 rooms ', ' Stayed 2 nights ']",48.8619373,2.3040298
10 Avenue Emile Zola 15th arr 75015 Paris France,33,8/4/2015,8,Mercure Paris Tour Eiffel Pont Mirabeau, Aircon not very good and kept being turned off by staff,12,259, Good location walking distance to Eiffel Tower metro outside front door,12,13,6.7,"[' Leisure trip ', ' Couple ', ' Privilege Room with 1 Double Bed ', ' Stayed 3 nights ']",48.8460269,2.2788281
10 rue Lamartine 9th arr 75009 Paris France,42,8/4/2015,8.8,Les Plumes Hotel, Not much If the breakfast was cheaper we may gone for it but it was cheaper to walk around the corner for a bite ,26,514, Great location with access to the Met And the photos do show how nice this place is Incredible value for money ,23,5,10,"[' Leisure trip ', ' Couple ', ' Suite ', ' Stayed 3 nights ']",48.8766269,2.3432886
1 Place De La Sorbonne 5th arr 75005 Paris France,118,8/31/2016,8.9,Select Hotel, The TV didn t work although we did not call for help The light switches were hard to figure out I wasn t able to turn on the reading lights on the bed without turning on the rest of the room lights Not a big deal for a one night stay ,53,1145, Great style lovely lobby and salle a manger Good deal for the room the small size was fine for us Comfortable bed and very quiet Very good breakfast We appreciated the dinner recommendation it was very good Location was excellent ,42,1,8.3,"[' Leisure trip ', ' Couple ', ' Small Double Room ', ' Stayed 1 night ']",48.8483053,2.3425596
10 rue Lamartine 9th arr 75009 Paris France,42,8/31/2016,8.8,Les Plumes Hotel, On Sunday most businesses in the neighborhood are closed ,11,514, Comfortable beds Excellent service Close to Sacre Coeur and Gare du Nord ,14,9,8.3,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",48.8766269,2.3432886
11 15 Rue De Lyon 12th arr 75012 Paris France,205,8/31/2016,8.3,Holiday Inn Paris Gare de Lyon Bastille, Neighbourhood a bit shabby ,6,2200, Handy to Gare de Lyon and Metro system The air conditioning in the hotel I was there during a heat wave ,23,31,9.6,"[' Leisure trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8468064,2.3714789
11 Bis Rue Jules Chaplain 6th arr 75006 Paris France,44,8/31/2016,8.7,H tel Chaplain Paris Rive Gauche, breakfast could be more fresh bread and crowsan and l d prefer boiled egg serve as warm and l expected a better wifi speed,25,615, Excellent location just a walk to metro bus resturant park and everything every where you need friendly stuff clean and most quiet room desing of room and lubby,29,2,9.2,"[' Leisure trip ', ' Couple ', ' Classic Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",48.8427564,2.3305636
11 Bis rue Mazagran 10th arr 75010 Paris France,25,8/31/2016,7.9,H tel Regina Op ra Grands Boulevards, A bar would be nice but there are plenty in the area anyway so no biggy ,18,287, Convenient location clean and comfortable rooms,7,4,9.6,"[' Leisure trip ', ' Solo traveler ', ' Double Room ', ' Stayed 1 night ']",48.8708508,2.3515882
11 rue de Tr vise 9th arr 75009 Paris France,111,8/31/2015,8.3,H tel Diva Opera, I booked a double room with a full size bed because my sister and I were traveling with a 3 year old Upon seeing my 3 year old niece I was told that I needed a triple room because my niece was going to break the bed My niece is a child Not a grown woman ,58,1353, I liked rooms They were very comfortable ,9,1,7.5,"[' Leisure trip ', ' Family with young children ', ' Superior Queen Room ', ' Stayed 3 nights ']",48.8732706,2.3450746
1 Place De La Sorbonne 5th arr 75005 Paris France,118,8/30/2016,8.9,Select Hotel, The breakfast was a bit limited and the staff for this service were very slow Most of the people were complaining about it,24,1145, Bed very comfortable AC system working very well during the days I stayed which were very hot Location excellent just 10 minutes walking to Notre Dame and easy to reach from the airport wit the RER B ,39,4,7.1,"[' Leisure trip ', ' Couple ', ' Small Double Room ', ' Stayed 3 nights ']",48.8483053,2.3425596
1 Rue De Libourne 12th arr 75012 Paris France,150,8/30/2016,8.7,Pullman Paris Centre Bercy, Too far away from champs elysee and Eifel tower about 30min with metro I think it is time for renovation However a nice hotel ,26,1382, Good breakfast staff friendly Next to mercy village and metro quite place resutaurants surrounding the hotel ,18,6,6.3,"[' Leisure trip ', ' Couple ', ' Superior Room with 1 Double Bed and 1 Single Bed ', ' Stayed 3 nights ']",48.8315204,2.3870797
1 Rue De Libourne 12th arr 75012 Paris France,150,8/30/2016,8.7,Pullman Paris Centre Bercy, Nothing,2,1382, Everything about the hotel was good from the service to the quality of the hotel ,17,1,8.3,"[' Leisure trip ', ' Couple ', ' Superior Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",48.8315204,2.3870797
1 Rue De Libourne 12th arr 75012 Paris France,150,8/30/2016,8.7,Pullman Paris Centre Bercy, The only thing that this property could use is a pool That would be the only thing that put this property over the top other than that there are no issues ,33,1382, Although the hotel was located in a business district it was very secluded It was also excessible to both taxi services and mass transit The hotel itself is beautiful it was clean and comfortable Although we only at there once the food was great I can t speak highly enough about the staff Flora Melanie Josephine to name a few were exceptional They made my wife and I extremely welcome and comfortable They were very helpful in suggesting not only places to visit but also provided directions on how to get there The whole entire staff made our stay even more enjoyable I highly suggest anyone visting this beautiful country should stay at the Pullman Thanks again guys ,120,2,10,"[' Leisure trip ', ' Couple ', ' Classique Double Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",48.8315204,2.3870797
10 rue d Ormesson 4th arr 75004 Paris France,27,8/30/2016,9,H tel de Jos phine BONAPARTE, No complaints,3,240, Everything was perfect down to the Villeroy Boch china at breakfast ,13,10,10,"[' Leisure trip ', ' Couple ', ' Junior Suite ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",48.8555319,2.3621212
11 15 Rue De Lyon 12th arr 75012 Paris France,205,8/30/2016,8.3,Holiday Inn Paris Gare de Lyon Bastille, We were hungry but room service was very expensive,10,2200, Great location a few meters from Gare de Lyon Very nice room on the top floor with bathtub ot shower Wifi was fast,24,32,9.2,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ']",48.8468064,2.3714789
10 12 rue de Charonne 11th arr 75011 Paris France,84,8/30/2015,8.9,Hotel L Antoine, very small accommodations Tried to make the most of the space but smallee rooms than even the typical Paris hotel ,22,796, Great location new hotel with modern touches Bathroom is one of the best I have seen in Paris ,20,4,8.3,"[' Leisure trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",48.8524215,2.3743832
11 Rue de l Arcade 8th arr 75008 Paris France,80,8/30/2015,8.1,Op ra Marigny, I booked a superior room nesepresso machine was provided however they charge 1 per capsule no other beverages such as coffee tea were provided as stated in their website The bath shower screen was broken ill fitted had to spend considerable time drying the flooded bathroom Not much attention given to presentation of the room I found half drunk soft drink bottle in the minibar fridge ,68,735, Helpful staff good breakfast comfortable bed ,8,4,5.4,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",48.871723,2.3235377
1 Rue De Libourne 12th arr 75012 Paris France,150,8/3/2017,8.7,Pullman Paris Centre Bercy, Fairly bland business hotel but excellent value and location ,11,1382, Excellent location close to both the gares de Lyon and Bercy and the lovely Bercy Park and the Bercy village with plenty of lively restaurants and bars Very good breakfast Helpful staff ,34,13,9.6,"[' Leisure trip ', ' Couple ', ' Classique Double Room ', ' Stayed 1 night ']",48.8315204,2.3870797
1 Rue De Libourne 12th arr 75012 Paris France,150,8/3/2017,8.7,Pullman Paris Centre Bercy, no facilities at all in the room almost unbelievable no kettle even,13,1382, dining facilities,3,5,4.6,"[' Couple ', ' Classique Double Room ', ' Stayed 1 night ']",48.8315204,2.3870797
10 rue d Ormesson 4th arr 75004 Paris France,27,8/3/2017,9,H tel de Jos phine BONAPARTE, Rooms very small and dark and quite noisy in the evenings when trying to sleep bring earplugs ,19,240, Great location very central Staff friendly particularly the female staff members ,13,5,7.1,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 6 nights ']",48.8555319,2.3621212
10 rue de Vaugirard 6th arr 75006 Paris France,83,8/3/2017,8.3,Le Senat, Nothing,2,549, Good Service,3,5,9.2,"[' Business trip ', ' Group ', ' Family Room 2 Adults 1 Child ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",48.8491427,2.3397118
10 rue de Vaugirard 6th arr 75006 Paris France,83,8/3/2017,8.3,Le Senat, Nothing,2,549, Good Service,3,5,9.2,"[' Business trip ', ' Group ', ' Superior Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",48.8491427,2.3397118
11 15 Rue De Lyon 12th arr 75012 Paris France,205,8/3/2016,8.3,Holiday Inn Paris Gare de Lyon Bastille, There is a SEX SHOP just next door This makes it a bit embarrassing when one is with family and children It gives an impression that perhaps this is not a decent area,34,2200, Excellent location The train station is so near Also the Hop On Hop Off tour bus stop is very close The staff is also good There are quite a few restaurants with Halal choice very near by,38,6,7.9,"[' Leisure trip ', ' Family with older children ', ' Standard Double Room ', ' Stayed 2 nights ']",48.8468064,2.3714789
10 12 rue Cognacq Jay 7th arr 75007 Paris France,96,8/29/2016,8.6,H tel Juliana Paris, Lighting in the room,5,577, Breakfast in bed was amazing The staff were very helpful and friendly ,14,2,10,"[' Leisure trip ', ' Couple ', ' Club Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",48.8619373,2.3040298
10 Avenue Emile Zola 15th arr 75015 Paris France,33,8/29/2016,8,Mercure Paris Tour Eiffel Pont Mirabeau, loud air conditioner,4,259, Attentive and very friendly staff Very clean and the look of the room was pleasant I love the open windows Good food and drink near by ,28,3,9.2,"[' Leisure trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8460269,2.2788281
102 Bd De Grenelle 15th arr 75015 Paris France,241,8/29/2016,8.6,Le Parisis Paris Tour Eiffel, Nothing,2,1477, I enjoyed the view from my window and the shower was big Lady behind the front desk was very beautiful as well ,24,1,10,"[' Leisure trip ', ' Solo traveler ', ' Double Room with Eiffel Tower View ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",48.8494851,2.2955063
1 Rue Du G n ral Blaise 11th arr 75011 Paris France,89,8/29/2015,8.2,Gardette Park Hotel, room small but great value and we were only in the room to sleep so how big does it need to be ,24,1011, great location easy access to the metro very quiet at night so a good nights sleep in a very comfy bed with excellent air con A short walk to bars and restaurants in proper Paris very few tourists but a great location to hop on the metro to see all the sights Would definitely stay again ,58,14,10,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ']",48.8610265,2.3788974
1 3 Rue d Argentine 16th arr 75116 Paris France,26,8/28/2016,8.4,Monhotel Lounge SPA, They have maintenance and I couldn t enjoy the balcony view ,13,171, I asked to be downgraded because I was paying for a balcony room while I couldn t enjoy the balcony Instead they upgraded me with the biggest room in the hotel for the same rate ,37,4,8.8,"[' Business trip ', ' Solo traveler ', ' Deluxe Double Room with Balcony ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",48.8743481,2.2897334
1 Place De La Sorbonne 5th arr 75005 Paris France,118,8/28/2016,8.9,Select Hotel, Nothing ,3,1145, Hotel was amazing very clean and a lovely modern decor too A great location within Paris ,18,1,10,"[' Leisure trip ', ' Couple ', ' Small Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",48.8483053,2.3425596
1 Place Vend me 1st arr 75001 Paris France,70,8/28/2016,8.7,H tel De Vend me, Nothing we didn t like,6,425, Everyone was pleasant and friendly They were slightly late in bringing out tea one morning and so they gave it to us for free The location is perfect and the food was excellent ,35,2,10,"[' Leisure trip ', ' Family with young children ', ' Deluxe Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",48.8668564,2.3286339
10 12 rue de Charonne 11th arr 75011 Paris France,84,8/28/2016,8.9,Hotel L Antoine, My husband found the bed comfortable but my side was a bit soggy,14,796, Great position in interesting area close to Bastille and Gare de Lyon Staff very friendly and helpful Bedroom small but very stylish ,24,1,9.6,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",48.8524215,2.3743832
11 15 Rue De Lyon 12th arr 75012 Paris France,205,8/28/2016,8.3,Holiday Inn Paris Gare de Lyon Bastille, Glad to find the newer lifts elevators just further down the hall as the one nearest reception was small and slow,22,2200, Just 8 minutes from Gare de Lyon Nice to be offered choice of rooms Early breakfast with hot options ,21,1,8.8,"[' Leisure trip ', ' Couple ', ' King Room Non Smoking ', ' Stayed 1 night ']",48.8468064,2.3714789
11 15 Rue De Lyon 12th arr 75012 Paris France,205,8/28/2015,8.3,Holiday Inn Paris Gare de Lyon Bastille, The eggs were really runny and breakfast was just okay ,12,2200, Great staff,3,1,10,"[' Leisure trip ', ' Family with young children ', ' Executive Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8468064,2.3714789
11 15 Rue De Lyon 12th arr 75012 Paris France,205,8/28/2015,8.3,Holiday Inn Paris Gare de Lyon Bastille, There was no electric plug next near the bed ,11,2200, Caring attentive staff Hassle free,6,4,9.2,"[' Leisure trip ', ' Couple ', ' Standard Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8468064,2.3714789
10 rue Chateaubriand 8th arr 75008 Paris France,14,8/27/2016,8.2,Atala Champs Elys es, WIFI had an issue on the 2nd day and it was unavailable the remaining days ,17,123, Hotel staff were helpful ,6,9,7.1,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 6 nights ']",48.8735418,2.302442
102 Bd De Grenelle 15th arr 75015 Paris France,241,8/27/2016,8.6,Le Parisis Paris Tour Eiffel, Some plumbing problems but staff eager to assist ,10,1477, Excellent view of the Eiffel Tower from our window Hotel staff very helpful ,15,10,9.2,"[' Leisure trip ', ' Couple ', ' Privilege Double Room with Eiffel Tower View ', ' Stayed 4 nights ']",48.8494851,2.2955063
102 Bd De Grenelle 15th arr 75015 Paris France,241,8/27/2016,8.6,Le Parisis Paris Tour Eiffel, Nothing,2,1477, Everything it was perfect,5,6,10,"[' Leisure trip ', ' Solo traveler ', ' Double Room with Eiffel Tower View ', ' Stayed 1 night ', ' Submitted from a mobile device ']",48.8494851,2.2955063
102 Bd De Grenelle 15th arr 75015 Paris France,241,8/27/2016,8.6,Le Parisis Paris Tour Eiffel, Food from room service,5,1477, Bed was comfy great view air condition nice staff ,11,1,10,"[' Leisure trip ', ' Couple ', ' Double Room with Eiffel Tower View ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8494851,2.2955063
102 Bd De Grenelle 15th arr 75015 Paris France,241,8/27/2016,8.6,Le Parisis Paris Tour Eiffel, The blow dryer didn t work ,8,1477, A very nice room with a fantastic view of the Eiffel Towe The staff was exceptionally helpful and friendly The room was very quiet and we had a comfortable night There is fresh fruit in the room as well as a coffee maker and teapot We will definitely recommend this place to our friends ,56,1,10,"[' Leisure trip ', ' Couple ', ' Double Room with Eiffel Tower View ', ' Stayed 1 night ']",48.8494851,2.2955063
1 Rue De Libourne 12th arr 75012 Paris France,150,8/27/2015,8.7,Pullman Paris Centre Bercy, Would have been nice to have a pool within the hotel ,13,1382, Everything Interiors are beautiful sauna and gym rooms are nicely displayed and the service was amazing ,18,1,10,"[' Leisure trip ', ' Group ', ' Superior Twin Room ', ' Stayed 3 nights ']",48.8315204,2.3870797
102 Avenue de Villiers 17th arr 75017 Paris France,100,8/27/2015,8.8,Amp re, If I compare with 4 star hotels in other countries this hotel is more buisness like hotel ,19,998, A room was clean very good location good speed free wifi,12,2,7.1,"[' Business trip ', ' Solo traveler ', ' Premium Double Room ', ' Stayed 1 night ']",48.8848583,2.2997023
1 3 Rue d Argentine 16th arr 75116 Paris France,26,8/26/2015,8.4,Monhotel Lounge SPA, expensive breakfast,3,171, Good location comfortable bed modern room,7,8,7.9,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room with Balcony ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8743481,2.2897334
1 Rue Scribe 9th arr 75009 Paris France,97,8/25/2016,8.6,Hotel Scribe Paris Opera by Sofitel, Step into the shower is quite high and it would have been nice to be informed prior to arrival that the walk in shower was only available in certain rooms at 40 euros extra per night ,38,705, Extra comfy beds and levels of service and great location,11,35,9.2,"[' Leisure trip ', ' Solo traveler ', ' Superior Double Room with Spa Access ', ' Stayed 3 nights ']",48.8704175,2.3296832
10 avenue Carnot 17th arr 75017 Paris France,39,8/25/2016,7.7,Belfast, Old furniture very tiny balcony ,7,337, Great location very well connected to most important things ro visit direct metro line Nice staff clean rooms ,20,4,8.3,"[' Leisure trip ', ' Group ', ' Superior Triple Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8756435,2.2938788
1 Avenue Carnot 17th arr 75017 Paris France,75,8/25/2015,8.9,Splendid Etoile, The lobby smell and the redecoration during our stay Small lobby with no space and facilities ,18,486, Helpful staff specially Mr Farouq at the receiption and the hotel location ,14,7,7.9,"[' Leisure trip ', ' Family with young children ', ' Classic Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",48.874707,2.2936761
10 12 rue de Charonne 11th arr 75011 Paris France,84,8/25/2015,8.9,Hotel L Antoine, Nothing,2,796, Great location and style Staff were so lovely Can t wait to return Suite was amazing and affordable ,20,2,10,"[' Leisure trip ', ' Couple ', ' Junior Suite ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",48.8524215,2.3743832
10 Rue de la Tour d Auvergne 9th arr 75009 Paris France,18,8/25/2015,8.3,Hotel Tour d Auvergne Opera, There is no actual bar or restaurant facilities just a common area where you can order some drinks or snacks However this is more than offset by having a Boulangerie Supermarket and bars within 1 mins walk So I am really not picking here ,46,164, Good distance from Gard Du Nord and ability to walk into Paris or use Metro Lots of local shops nearby to cater for all sorts Staff were really helpful and friendly ,33,1,10,"[' Leisure trip ', ' Couple ', ' Premium Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8789432,2.3448623
1 Bis Rue De Vaugirard 6th arr 75006 Paris France,99,8/24/2016,8.2,Hotel Trianon Rive Gauche, Rooms were a bit small but it s Paris so this was expected ,15,967, Good location to explore the city and St Germain We were only in Paris for one night but would have been comfortable to stay here for more ,29,5,7.9,"[' Leisure trip ', ' Couple ', ' Twin Room ', ' Stayed 1 night ']",48.8487675,2.3410376
1 Bis Rue De Vaugirard 6th arr 75006 Paris France,99,8/23/2016,8.2,Hotel Trianon Rive Gauche, yes it is paris style but the room and the elevator seem really too small ,17,967, I do really love the balcony we spent many days here and every morning when I wake up the balcony made me a very happy morning The location is also great for women there are many nice food restaurants and nice shops you do not need to worry that nothing to do in the evening because near the hotel there are also many nice bar with good view Just 5 minutes walk to Luxembourg park is also great ,80,8,7.9,"[' Leisure trip ', ' Group ', ' Single Room ', ' Stayed 4 nights ']",48.8487675,2.3410376
1 Rue De Libourne 12th arr 75012 Paris France,150,8/23/2016,8.7,Pullman Paris Centre Bercy, No restaurants for lunch and dinner The shower room design is bad It made the bath room wet when used n,22,1382, Convenient and quiet ,5,4,7.1,"[' Leisure trip ', ' Couple ', ' Junior Suite ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8315204,2.3870797
10 rue Saint Philippe du Roule 8th arr 75008 Paris France,43,8/23/2016,9.1,Bradford Elys es Astotel, Very happy,3,234, I loved how personal it was everyone was so friendly nothing was any trouble We will return back to Oaris and we will definitely be back to this hotel,30,5,10,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",48.8729676,2.3081178
11 15 Rue De Lyon 12th arr 75012 Paris France,205,8/23/2016,8.3,Holiday Inn Paris Gare de Lyon Bastille, Nothing,2,2200, Great Location friendly staff acceptable facilities,7,50,8.8,"[' Leisure trip ', ' Couple ', ' King Room Non Smoking ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8468064,2.3714789
11 15 Rue De Lyon 12th arr 75012 Paris France,205,8/23/2016,8.3,Holiday Inn Paris Gare de Lyon Bastille, Nothing,2,2200, Good size room with a comfortable bed,8,9,8.3,"[' Leisure trip ', ' Couple ', ' Executive King Room Non Smoking ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8468064,2.3714789
11 15 Rue De Lyon 12th arr 75012 Paris France,205,8/23/2016,8.3,Holiday Inn Paris Gare de Lyon Bastille, Daily service of room was often carried out late in the afternoon Maybe more staff should be rostered in peak occupancy periods ,24,2200, Extremely good location with access to transport restaurants and easy walking to some key tourist sites ,18,8,8.3,"[' Leisure trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 7 nights ']",48.8468064,2.3714789
11 15 Rue De Lyon 12th arr 75012 Paris France,205,8/23/2016,8.3,Holiday Inn Paris Gare de Lyon Bastille, Room had view of rear but a front street view with a balcony would have been nicer ,19,2200, Big room comfy bed great TV free Wi Fi short walk to the Metro supermarket across the road ,20,13,9.2,"[' Leisure trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 4 nights ']",48.8468064,2.3714789
1 Impasse Marteau 18th arr 75018 Paris France,91,8/23/2015,7.4,Novotel Suites Paris Nord 18 me, Location Lifts very small slow,6,1082, Breakfast Quite Comfortable,4,11,8.3,"[' Leisure trip ', ' Family with older children ', ' Superior Suite with 1 Double Bed and 1 Single Bed ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",48.9015941,2.3597783
10 avenue Carnot 17th arr 75017 Paris France,39,8/23/2015,7.7,Belfast, Bathroom very small,4,337, Comfortabl bed and air conditioning,6,6,8.8,"[' Leisure trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",48.8756435,2.2938788
10 Place De La R publique 11th arr 75011 Paris France,141,8/23/2015,8,Crowne Plaza Paris R publique, We didn t like leaving Very sad to go they made our stay very enjoyable Thank you,18,1053, Everyone was very helpful my son is type 1 diabetic and coeliac so it was a great relief when the hotel said they can help cater for his needs they also helped with eating out Thank you,38,1,10,"[' Leisure trip ', ' Family with older children ', ' Standard Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",48.8673199,2.3656296
10 rue Lamartine 9th arr 75009 Paris France,42,8/23/2015,8.8,Les Plumes Hotel, Nothing to complain about ,6,514, Great location Near bars restaurants and metro Quiet clean and comfortable rooms Great air conditioning tv and wifi Helpful staff ,22,1,9.6,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 3 nights ']",48.8766269,2.3432886
1 Impasse Marteau 18th arr 75018 Paris France,91,8/22/2016,7.4,Novotel Suites Paris Nord 18 me, the location and surrounding environment is dirty and near the rubbish station ,14,1082, good facilities,3,2,7.1,"[' Leisure trip ', ' Family with older children ', ' Superior Suite with 1 Double Bed and 1 Single Bed ', ' Stayed 3 nights ']",48.9015941,2.3597783
1 Rue De Libourne 12th arr 75012 Paris France,150,8/22/2016,8.7,Pullman Paris Centre Bercy, nothing ,3,1382, always high standard good location and excellent breakfast buffet nice people as well ,15,22,9.2,"[' Leisure trip ', ' Family with older children ', ' 2 rooms ', ' Stayed 1 night ']",48.8315204,2.3870797
1 Rue Du G n ral Blaise 11th arr 75011 Paris France,89,8/22/2016,8.2,Gardette Park Hotel, Breakfast could have more option ,7,1011, Bed is comfortable new instalation ,7,7,8.3,"[' Leisure trip ', ' Family with older children ', ' 2 rooms ', ' Stayed 2 nights ']",48.8610265,2.3788974
10 Place De Mexico 16th arr 75016 Paris France,34,8/22/2016,8.3,Le Metropolitan a Tribute Portfolio Hotel, Room and bathroom size very small No mirror in the room,12,286, Excellent view of the Eiffel Tower and the location of the hotel Comfortable bed ,16,8,8.8,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 3 nights ']",48.8656973,2.2829776
